round,subtomogram_id,file_name,runtime_s,r00,r01,r02,r10,r11,r12,r20,r21,r22
2,10,10.mrc,28.54006178599957,-0.865523099899292,-0.3385860025882721,-0.3690924644470215,0.39804452657699585,-0.01768154464662075,-0.9171956777572632,0.30402350425720215,-0.9407693147659302,0.15007609128952026
2,11,11.mrc,29.1549877429934,0.8042557239532471,0.5941268801689148,0.013637376949191093,-0.4440857768058777,0.6160812973976135,-0.6505625247955322,-0.39491844177246094,0.5171625018119812,0.7593302130699158
2,12,12.mrc,28.990384714008542,-0.7328783869743347,0.2351871281862259,0.6384170651435852,-0.06731748580932617,-0.9588143825531006,0.27594074606895447,0.6770211458206177,0.15925438702106476,0.7185265421867371
2,13,13.mrc,28.872917661996325,-0.4447815716266632,-0.2845730781555176,0.8492276072502136,0.054042380303144455,-0.954980194568634,-0.29170578718185425,0.89400714635849,-0.08385106921195984,0.4401366114616394
2,14,14.mrc,29.001539360004244,0.05958574637770653,0.9065797328948975,-0.41780704259872437,-0.8264569640159607,0.2795412540435791,0.4886978268623352,0.5598378777503967,0.31618010997772217,0.7659057974815369
2,15,15.mrc,28.623562057007803,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,16,16.mrc,28.255525312008103,-0.35020381212234497,0.773449718952179,0.5283302068710327,0.42177507281303406,0.6338436007499695,-0.6483425498008728,-0.8363391160964966,-0.004215535707771778,-0.5481962561607361
2,17,17.mrc,28.828991032001795,0.320003479719162,-0.6777941584587097,0.6619613766670227,0.6823019981384277,-0.3198845088481903,-0.6573719382286072,0.6573140621185303,0.662018895149231,0.36009615659713745
2,18,18.mrc,29.031916441002977,-0.24926075339317322,-0.07335896790027618,-0.9656539559364319,-0.9676014184951782,0.06026294454932213,0.24518537521362305,0.040206603705883026,0.9954832196235657,-0.08600343018770218
2,19,19.mrc,28.686243461997947,-0.2069787234067917,-0.1731909066438675,-0.9628939032554626,-0.7455993294715881,0.6651545763015747,0.04063217341899872,0.6334362030029297,0.7263430953025818,-0.2668038606643677
2,20,20.mrc,28.850314322990016,0.2059045433998108,-0.9610102772712708,0.18456034362316132,-0.8253877758979797,-0.06924083828926086,0.5603041648864746,-0.5256789326667786,-0.26770302653312683,-0.8074631690979004
2,21,21.mrc,28.880747095987317,0.7892124652862549,0.31372418999671936,-0.5279402136802673,0.10359552502632141,-0.9153598546981812,-0.38908129930496216,-0.6053194999694824,0.2523755431175232,-0.7549138069152832
2,22,22.mrc,28.643342235998716,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,23,23.mrc,28.704041567994864,0.7050793170928955,0.21110491454601288,-0.6769770383834839,0.40273383259773254,-0.90496826171875,0.13725140690803528,-0.5836682319641113,-0.36941465735435486,-0.7230934500694275
2,24,24.mrc,28.75223734100291,0.8669483661651611,0.11037932336330414,0.4860215485095978,-0.03187132254242897,0.9854496717453003,-0.16695243120193481,-0.497377872467041,0.1292489916086197,0.8578519225120544
2,25,25.mrc,28.5856268889911,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,26,26.mrc,28.65793622599449,-0.13088788092136383,0.9128541350364685,-0.386737197637558,0.17370964586734772,-0.3629414439201355,-0.9154771566390991,-0.9760600924491882,-0.18700484931468964,-0.11106692999601364
2,27,27.mrc,28.794480390002718,-0.6862643957138062,0.11260168254375458,0.718583345413208,0.726016640663147,0.04620388150215149,0.6861231923103333,0.04405728727579117,0.992565393447876,-0.1134587749838829
2,28,28.mrc,28.61594312399393,-0.8293493986129761,-0.48599353432655334,0.27566251158714294,0.08837217837572098,-0.6012611389160156,-0.7941507697105408,0.551697313785553,-0.6342675685882568,0.5416038632392883
2,29,29.mrc,29.090115436993074,-0.8279574513435364,-0.07548100501298904,0.5556879043579102,0.1622697412967682,-0.9807567596435547,0.10855722427368164,0.5368006825447083,0.18005208671092987,0.8242731690406799
2,30,30.mrc,28.91450805599743,-0.6058160662651062,-0.6332395076751709,0.4816582202911377,-0.0016584029654040933,0.6064026951789856,0.7951560020446777,-0.7956029772758484,0.4809194803237915,-0.3684186339378357
2,31,31.mrc,28.735907836002298,-0.9039169549942017,-0.40362682938575745,-0.14149020612239838,-0.41509944200515747,0.9076085686683655,0.06276240199804306,0.10308513790369034,0.11546450853347778,-0.9879480600357056
2,32,32.mrc,28.83818274299847,-0.7999865412712097,-0.18048317730426788,-0.5722301006317139,0.19681435823440552,0.8219924569129944,-0.5344085097312927,0.5668206214904785,-0.5401427745819092,-0.6220612525939941
2,33,33.mrc,28.93171989500115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,34,34.mrc,29.08070649500587,-0.7648945450782776,0.0169585719704628,0.6439322233200073,0.10957291722297668,-0.9816592931747437,0.15600907802581787,0.6347677111625671,0.18988803029060364,0.7490076422691345
2,35,35.mrc,28.80482085098629,0.9247384667396545,0.3150787055492401,-0.2135043889284134,0.38031861186027527,-0.7866488695144653,0.48635509610176086,-0.014712861739099026,-0.5309509634971619,-0.8472748398780823
2,36,36.mrc,29.00019140599761,-0.23420189321041107,-0.8443132042884827,-0.48195916414260864,0.8297558426856995,0.08473803102970123,-0.5516563057899475,0.5066109895706177,-0.529107391834259,0.680728018283844
2,37,37.mrc,28.876283339996007,0.3339739739894867,-0.9198099374771118,0.2059393972158432,-0.7490272521972656,-0.12634862959384918,0.65038001537323,-0.5722059011459351,-0.37146422266960144,-0.7311598658561707
2,38,38.mrc,28.7786807520024,-0.811837911605835,0.06493490934371948,0.5802608132362366,0.0024772710166871548,0.9941707849502563,-0.10778815299272537,-0.5838775634765625,-0.08606904745101929,-0.8072664141654968
2,39,39.mrc,28.894212990999222,-0.9984609484672546,-0.004097178112715483,0.05530738830566406,0.003109926823526621,-0.9998344779014587,-0.017924541607499123,0.05537167564034462,-0.01772495172917843,0.9983084797859192
3,0,0.mrc,28.977931925997837,0.4538954794406891,-0.6799190044403076,0.5759245157241821,0.7215955257415771,-0.0987149104475975,-0.6852409839630127,0.5227607488632202,0.7266123294830322,0.44582027196884155
3,1,1.mrc,28.878909102000762,0.8053463101387024,0.12823879718780518,0.5787677764892578,0.5786678791046143,0.04188239201903343,-0.8144872188568115,-0.12868903577327728,0.9908585548400879,-0.04047783836722374
3,2,2.mrc,28.682768077007495,-0.976229727268219,-0.06486976146697998,0.2068028301000595,0.18387742340564728,0.25722768902778625,0.9486954212188721,-0.11473706364631653,0.9641710519790649,-0.23918524384498596
3,3,3.mrc,28.679321055999026,0.445244699716568,0.6049883961677551,0.6601107716560364,-0.789470374584198,-0.08260484039783478,0.60820472240448,0.4224851429462433,-0.7919378280639648,0.44084104895591736
3,4,4.mrc,29.17503889699583,-0.17770403623580933,-0.8524816632270813,-0.49162614345550537,0.3072989583015442,-0.5226659774780273,0.7952280640602112,-0.9348735809326172,-0.009760970249772072,0.3548465967178345
3,5,5.mrc,28.68202727699827,-0.9799299240112305,0.03358267992734909,0.19649304449558258,0.025046074762940407,-0.957153856754303,0.28849464654922485,0.19776250422000885,0.28762590885162354,0.9371026158332825
3,6,6.mrc,29.1945455110108,-0.5663105249404907,-0.042297687381505966,-0.8231058716773987,0.8137502074241638,0.12977084517478943,-0.5665422677993774,0.13077858090400696,-0.9906414151191711,-0.03907084837555885
3,7,7.mrc,28.978794042006484,0.9096891283988953,0.18037688732147217,0.37407201528549194,-0.33885714411735535,-0.19834452867507935,0.9196930527687073,0.24008649587631226,-0.9633917212486267,-0.11930986493825912
3,8,8.mrc,29.016958020001766,0.7560945749282837,0.22147522866725922,-0.6158487796783447,0.3139277696609497,-0.9484107494354248,0.044344689697027206,-0.5742563009262085,-0.22686082124710083,-0.7866154313087463
3,9,9.mrc,29.014328300007037,0.9411140084266663,-0.31671616435050964,0.11830148845911026,0.061085619032382965,0.50344318151474,0.861866295337677,-0.3325250744819641,-0.8038879632949829,0.4931442439556122
3,10,10.mrc,29.05389400200511,0.527434229850769,0.16452531516551971,0.8335133790969849,0.08197834342718124,0.9666371941566467,-0.24267694354057312,-0.8456315398216248,0.19632618129253387,0.4963500499725342
3,11,11.mrc,29.09458650299348,0.8400247097015381,0.5179972648620605,0.16136100888252258,-0.01168264914304018,0.3146139681339264,-0.9491478204727173,-0.542422354221344,0.7954224944114685,0.2703350782394409
